_id,flight_iata,flight_icao,dep_iata,dep_icao,dep_terminal,dep_gate,dep_time,arr_iata,arr_icao,arr_time,status,duration,delayed,__v
6318d3e00a9c553ba7a7b91c,6H41,ISR41,TLV,LLBG,,2022-09-08 06:30,ETM,LLER,2022-09-08 07:30,scheduled,60,0,0
6318d3e00a9c553ba7a7b927,IZ413,AIZ413,TLV,LLBG,,2022-09-08 06:45,BUS,UGSB,2022-09-08 10:00,scheduled,135,0,0
6318d3e00a9c553ba7a7b929,QS413,TVS413,TLV,LLBG,,2022-09-08 06:45,BUS,UGSB,2022-09-08 10:00,scheduled,135,0,0
6318d3e00a9c553ba7a7b92a,A3457,AEE457,TLV,LLBG,,2022-09-08 06:50,HER,LGIR,2022-09-08 08:35,scheduled,105,0,0
6318d3e00a9c553ba7a7b92b,PC780,PGT780,TLV,LLBG,,2022-09-08 06:55,SAW,LTFJ,2022-09-08 09:10,scheduled,135,0,0
6318d3e00a9c553ba7a7b92c,LY541,ELY541,TLV,LLBG,,2022-09-08 07:00,ATH,LGAV,2022-09-08 09:10,scheduled,130,0,0
6318d3e00a9c553ba7a7b92d,LY573,ELY573,TLV,LLBG,,2022-09-08 07:00,OTP,LROP,2022-09-08 09:40,scheduled,160,0,0
6318d3e00a9c553ba7a7b92e,TK811,THY811,TLV,LLBG,,2022-09-08 07:00,IST,LTFM,2022-09-08 09:20,scheduled,140,0,0
6318d3e00a9c553ba7a7b9e0,RJ342,RJA342,AMM,OJAI,,2022-09-08 07:00,TLV,LLBG,2022-09-08 07:45,scheduled,45,0,0
6318d3e00a9c553ba7a7b9e6,A9695,TGZ695,TBS,UGTB,,2022-09-08 07:20,TLV,LLBG,2022-09-08 08:40,scheduled,140,0,0
6318d3e00a9c553ba7a7b9e7,TK784,THY784,IST,LTFM,,2022-09-08 07:00,TLV,LLBG,2022-09-08 08:55,scheduled,115,0,0
6318d3e00a9c553ba7a7b9e9,W63689,WZZ3689,IAS,LRIA,,2022-09-08 06:30,TLV,LLBG,2022-09-08 09:25,scheduled,175,0,0
6318d3e00a9c553ba7a7b9ea,EK2369,UAE2369,DXB,OMDB,,2022-09-08 07:05,TLV,LLBG,2022-09-08 09:35,scheduled,210,0,0
6318d3e00a9c553ba7a7b9eb,FZ1549,FDB1549,DXB,OMDB,,2022-09-08 07:05,TLV,LLBG,2022-09-08 09:35,scheduled,210,0,0
6318dffc211b7a001ef5fa2e,LY2433,ELY2433,TLV,LLBG,,2022-09-08 07:30,LCA,LCLK,2022-09-08 08:35,scheduled,65,0,0
6318dffc211b7a001ef5fa2f,A3493,AEE493,TLV,LLBG,,2022-09-08 07:40,JMK,LGMK,2022-09-08 09:25,scheduled,105,0,0
6318dffc211b7a001ef5fa33,W67501,WZZ7501,TLV,LLBG,,2022-09-08 07:45,RHO,LGRP,2022-09-08 09:30,scheduled,105,0,0
6318dffc211b7a001ef5fa34,AF975,AFR975,TLV,LLBG,,2022-09-08 07:50,CDG,LFPG,2022-09-08 11:35,scheduled,285,0,0
6318dffc211b7a001ef5fa35,DL8509,DAL8509,TLV,LLBG,,2022-09-08 07:50,CDG,LFPG,2022-09-08 11:35,scheduled,285,0,0
6318dffc211b7a001ef5fa36,KL2060,KLM2060,TLV,LLBG,,2022-09-08 07:50,CDG,LFPG,2022-09-08 11:35,scheduled,285,0,0
6318dffc211b7a001ef5fa37,AA8393,AAL8393,TLV,LLBG,,2022-09-08 08:00,ZRH,LSZH,2022-09-08 11:20,scheduled,260,0,0
6318dffc211b7a001ef5fa38,AC9541,ACA9541,TLV,LLBG,,2022-09-08 08:00,FRA,EDDF,2022-09-08 11:30,scheduled,270,0,0
